"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"C15","100n","TopLayer","FP-C0402-BB-MFG","135.5250","86.1250","0","CAP CER 0.1UF 10V X5R 0402"
"C14","2.2u","TopLayer","CAPC2013X145X50ML20T25","135.4250","88.4500","180",""
"C13","10u","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","77.0750","88.9000","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C12","10u","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","70.4750","81.8500","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C11","100n","TopLayer","FP-C0402-BB-MFG","86.0750","51.1500","270","CAP CER 0.1UF 10V X5R 0402"
"C10","100n","TopLayer","FP-C0402-BB-MFG","115.3250","50.5500","270","CAP CER 0.1UF 16V X7R 0402"
"C9","100n","TopLayer","FP-C0402-BB-MFG","101.2000","82.1750","315","CAP CER 0.1UF 10V X5R 0402"
"C8","100n","TopLayer","FP-C0402-BB-MFG","95.9000","66.2000","135","CAP CER 0.1UF 10V X5R 0402"
"C7","100n","TopLayer","FP-C0402-BB-MFG","100.8000","65.7000","225","CAP CER 0.1UF 10V X5R 0402"
"C6","100n","TopLayer","FP-C0402-BB-MFG","90.7328","76.8078","45","CAP CER 0.1UF 10V X5R 0402"
"C5","100n","TopLayer","FP-C0402-BB-MFG","106.1500","77.5750","315","CAP CER 0.1UF 10V X5R 0402"
"C4","2.2u","TopLayer","CAPC2013X145X50ML20T25","87.9500","77.3000","225",""
"C3","2.2u","TopLayer","CAPC2013X145X50ML20T25","103.8864","81.6114","225",""
"C2","22p","TopLayer","FP-C1206C-EB-MFG","106.8500","55.2250","270","1206 22pF Ceramic Multilayer Capacitor; 50VDC; 125degC; C0G Dielec; +/-5% SMD"
"C1","22p","TopLayer","FP-C1206C-EB-MFG","102.4250","55.2000","270","1206 22pF Ceramic Multilayer Capacitor; 50VDC; 125degC; C0G Dielec; +/-5% SMD"
